Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A,Conv2d Count,BatchNorm2d Count,Dropout Count,AdaptiveAvgPool2d Count,Linear Count
input_channels:3_num_classes:975_depth:22_arch:residual_base_filters:93_batch:32_input_size:182_act:softplus_dropout:0.28879752477960674_dropout:False_batchnorm:True.out,0,"[('Softplus', 33124, 0), ('Softplus', 33124, 0), ('Softplus', 8281, 0), ('Softplus', 8281, 0), ('Softplus', 8281, 0), ('Softplus', 8281, 0), ('Softplus', 2116, 0), ('Softplus', 2116, 0), ('Softplus', 2116, 0), ('Softplus', 2116, 0), ('Softplus', 529, 0), ('Softplus', 529, 0), ('Softplus', 529, 0), ('Softplus', 529, 0), ('Softplus', 144, 0), ('Softplus', 144, 0), ('Softplus', 144, 0), ('Softplus', 144, 0), ('Softplus', 36, 0), ('Softplus', 36, 0)]",Softplus,110600,0,32,10513,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:858_depth:2_arch:gradual_base_filters:50_batch:46_input_size:46_act:swish_dropout:0.22234240526292215_dropout:False_batchnorm:False.out,0,"[('SiLU', 2116, 0), ('SiLU', 2116, 0)]",SiLU,4232,0,46,1983,36.707692307692305,0.35942187499999995,0.30536363636363634,0.16805454545454546,0.021017857142857147,0,0,0,0,0
input_channels:1_num_classes:219_depth:4_arch:residual_base_filters:74_batch:56_input_size:54_act:leaky_relu_dropout:0.12777064848040343_dropout:False_batchnorm:True.out,0,"[('LeakyReLU', 2916, 0), ('LeakyReLU', 2916, 0), ('LeakyReLU', 729, 0), ('LeakyReLU', 729, 0)]",LeakyReLU,7290,0,56,2803,75.24242424242425,0.6617384615384615,0.5866779661016948,0.2702372881355932,0.026017241379310333,0,0,0,0,0
input_channels:3_num_classes:278_depth:19_arch:hourglass_base_filters:52_batch:44_input_size:18_act:relu_dropout:0.4056898047606978_dropout:True_batchnorm:True.out,0,"[('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0), ('ReLU', 324, 0), ('Dropout', 324, 0)]",ReLU,12312,0,44,4629,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:501_depth:15_arch:pyramid_base_filters:16_batch:52_input_size:16_act:elu_dropout:0.21775297764015017_dropout:False_batchnorm:True.out,0,"[('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0), ('ELU', 256, 0)]",ELU,3840,0,52,3623,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:93_depth:11_arch:hourglass_base_filters:90_batch:44_input_size:68_act:mish_dropout:0.372485838650226_dropout:True_batchnorm:True.out,0,"[('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0), ('Mish', 4624, 0), ('Dropout', 4624, 0)]",Mish,101728,0,44,22021,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:378_depth:16_arch:hourglass_base_filters:16_batch:52_input_size:88_act:tanh_dropout:0.3016367621726166_dropout:False_batchnorm:True.out,0,"[('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0), ('Tanh', 7744, 0)]",Tanh,123904,0,52,29639,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:782_depth:8_arch:pyramid_base_filters:47_batch:48_input_size:168_act:elu_dropout:0.12781842986085043_dropout:False_batchnorm:False.out,0,"[('ELU', 28224, 0), ('ELU', 28224, 0), ('ELU', 28224, 0), ('ELU', 28224, 0), ('ELU', 28224, 0), ('ELU', 28224, 0), ('ELU', 28224, 0), ('ELU', 28224, 0)]",ELU,225792,0,48,35789,31.833333333333332,0.144,0,0,0.228,0,0,0,0,0
input_channels:3_num_classes:325_depth:2_arch:residual_base_filters:102_batch:52_input_size:66_act:relu_dropout:0.39141141159673887_dropout:False_batchnorm:True.out,0,"[('ReLU', 4356, 0), ('ReLU', 4356, 0)]",ReLU,8712,0,52,2763,64.63492063492063,0.6488000000000003,0.6492280701754386,0.31257894736842096,0.03532203389830507,0,0,0,0,0
input_channels:3_num_classes:342_depth:21_arch:uniform_base_filters:72_batch:54_input_size:44_act:tanh_dropout:0.3590667838150622_dropout:True_batchnorm:True.out,0,"[('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0), ('Tanh', 1936, 0), ('Dropout', 1936, 0)]",Tanh,81312,0,54,3969,0,0,0,0,0,0,0,0,0,0
