Filename,Depth,Activations-Params,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:3528_output:603_depth:1_arch:gradual_batch:686.out,2,"[(603, 2127987), (603, 364212)]",1206,2492199,686,1531,25.94871794871795,0.18157692307692314,0.13628358208955227,0.028656716417910445,0.101453125
input:1272_output:228_depth:7_arch:gradual_batch:158.out,8,"[(1123, 1429579), (974, 1094776), (825, 804375), (676, 558376), (527, 356779), (378, 199584), (229, 86791), (228, 52440)]",4960,4582700,158,1541,38.794871794871796,0.36655128205128207,0.20226760563380278,0.034028169014084494,0.08524285714285716
input:541_output:41_depth:5_arch:gradual_batch:976.out,6,"[(441, 239022), (341, 150722), (241, 82422), (141, 34122), (41, 5822), (41, 1722)]",1246,513832,976,1481,19.03846153846154,0.1740909090909091,0.0656923076923077,0.011553846153846161,0.03687878787878786
input:2118_output:191_depth:5_arch:gradual_batch:78.out,6,"[(1733, 3672227), (1348, 2337432), (963, 1299087), (578, 557192), (193, 111747), (191, 37054)]",5006,8014739,78,1621,45.35897435897436,0.4410129870129867,0.30854411764705875,0.07663235294117643,0.08889855072463766
input:3911_output:100_depth:10_arch:uniform_batch:886.out,11,"[(3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (3911, 15299832), (100, 391200)]",39210,153389520,886,4635,82.77215189873418,0.8256153846153848,0.7801571428571429,0.27834285714285717,0.6276027397260274
input:3807_output:150_depth:1_arch:gradual_batch:922.out,2,"[(150, 571200), (150, 22650)]",300,593850,922,1487,15.987012987012987,0.08562337662337663,0.03794029850746269,0.006582089552238811,0.025212121212121196
input:2856_output:31_depth:1_arch:gradual_batch:43.out,2,"[(31, 88567), (31, 992)]",62,89559,43,1453,29.025974025974026,0.2584935064935064,0.015971014492753635,0.0010000000000000007,0.002985294117647061
input:2414_output:469_depth:7_arch:uniform_batch:609.out,8,"[(2414, 5829810), (2414, 5829810), (2414, 5829810), (2414, 5829810), (2414, 5829810), (2414, 5829810), (2414, 5829810), (469, 1132635)]",17367,41941305,609,2373,67.24050632911393,0.6690909090909088,0.6166428571428574,0.19002857142857146,0.45681690140845077
input:4062_output:425_depth:2_arch:uniform_batch:431.out,3,"[(4062, 16503906), (4062, 16503906), (425, 1726775)]",8549,34734587,431,2153,61.782051282051285,0.575576923076923,0.5640869565217392,0.1948985507246376,0.3504117647058822
input:2651_output:376_depth:6_arch:gradual_batch:410.out,7,"[(2272, 6025344), (1893, 4302789), (1514, 2867516), (1135, 1719525), (756, 858816), (377, 285389), (376, 142128)]",8323,16201507,410,1795,50.12820512820513,0.4695128205128206,0.43038028169014075,0.146056338028169,0.2571571428571428
input:1091_output:261_depth:6_arch:pyramid_batch:810.out,7,"[(545, 595140), (272, 148512), (261, 71253), (261, 68382), (261, 68382), (261, 68382), (261, 68382)]",2122,1088433,810,1487,28.285714285714285,0.25214102564102564,0.12342647058823528,0.022352941176470603,0.06844927536231883
input:1629_output:404_depth:1_arch:uniform_batch:975.out,2,"[(1629, 2655270), (404, 658520)]",2033,3313790,975,1547,27.76923076923077,0.238077922077922,0.18723943661971842,0.03639436619718308,0.1527941176470588
input:3657_output:590_depth:7_arch:uniform_batch:287.out,8,"[(3657, 13377306), (3657, 13377306), (3657, 13377306), (3657, 13377306), (3657, 13377306), (3657, 13377306), (3657, 13377306), (590, 2158220)]",26189,95799362,287,3405,82.31645569620254,0.8131948051948048,0.7925211267605632,0.3664647887323942,0.449578125
input:206_output:12_depth:2_arch:uniform_batch:885.out,3,"[(206, 42642), (206, 42642), (12, 2484)]",424,87768,885,1455,9.64102564102564,0.0811666666666667,0.022166666666666675,0.003151515151515154,0.008430769230769235
