Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Batch Normalization Layers,Dropout Layers,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:3311_output:677_depth:3_arch:bottleneck_batch:560_act:tanh_dropout:0.3688905901561097_dropout:False_batchnorm:False.out,5,"[(1655, 5481360), (1655, 0), (827, 1369512), (827, 0), (677, 560556), (677, 0), (677, 459006), (677, 0), (677, 459006), (677, 0)]",Tanh,9026,8329440,560,0,0,1643,35.640625,0.31508064516129014,0.2716296296296297,0.07311111111111109,0.17205555555555557
input:660_output:3_depth:10_arch:bottleneck_batch:634_act:selu_dropout:0.17547420933403438_dropout:True_batchnorm:True.out,12,"[(330, 218130), (330, 660), (330, 0), (330, 0), (165, 54615), (165, 330), (165, 0), (165, 0), (82, 13612), (82, 164), (82, 0), (82, 0), (41, 3403), (41, 82), (41, 0), (41, 0), (20, 840), (20, 40), (20, 0), (20, 0), (10, 210), (10, 20), (10, 0), (10, 0), (5, 55), (5, 10), (5, 0), (5, 0), (3, 18), (3, 6), (3, 0), (3, 0), (3, 12), (3, 6), (3, 0), (3, 0), (3, 12), (3, 6), (3, 0), (3, 0), (3, 12), (3, 6), (3, 0), (3, 0), (3, 12), (3, 0)]",SELU,2666,292261,634,11,11,1461,29.61904761904762,0.29293548387096763,0.03803571428571427,0.005625000000000004,0.01405357142857144
input:2551_output:240_depth:4_arch:uniform_batch:119_act:mish_dropout:0.14795500524614644_dropout:True_batchnorm:False.out,5,"[(2551, 6510152), (2551, 0), (2551, 0), (2551, 6510152), (2551, 0), (2551, 0), (2551, 6510152), (2551, 0), (2551, 0), (2551, 6510152), (2551, 0), (2551, 0), (240, 612480), (240, 0)]",Mish,31092,26653088,119,0,4,1997,69.5079365079365,0.6796129032258066,0.625109090909091,0.2742545454545456,0.23661111111111113
input:3800_output:537_depth:6_arch:uniform_batch:173_act:swish_dropout:0.4842830328281006_dropout:True_batchnorm:False.out,7,"[(3800, 14443800), (3800, 0), (3800, 0), (3800, 14443800), (3800, 0), (3800, 0), (3800, 14443800), (3800, 0), (3800, 0), (3800, 14443800), (3800, 0), (3800, 0), (3800, 14443800), (3800, 0), (3800, 0), (3800, 14443800), (3800, 0), (3800, 0), (537, 2041137), (537, 0)]",SiLU,69474,88703937,173,0,6,3253,80.671875,0.8143064516129032,0.7743035714285714,0.3545000000000001,0.387890909090909
input:2047_output:309_depth:3_arch:gradual_batch:852_act:prelu_dropout:0.19962364633623197_dropout:False_batchnorm:False.out,4,"[(1468, 3006464), (1468, 0), (889, 1305941), (889, 0), (310, 275900), (310, 0), (309, 96099), (309, 0)]",PReLU,5952,4684404,852,0,0,1577,35.74603174603175,0.31138095238095237,0.2648301886792451,0.06954716981132078,0.2062549019607843
input:1721_output:347_depth:6_arch:bottleneck_batch:732_act:leaky_relu_dropout:0.1339635705038254_dropout:True_batchnorm:False.out,8,"[(860, 1480920), (860, 0), (860, 0), (430, 370230), (430, 0), (430, 0), (347, 149557), (347, 0), (347, 0), (347, 120756), (347, 0), (347, 0), (347, 120756), (347, 0), (347, 0), (347, 120756), (347, 0), (347, 0), (347, 120756), (347, 0), (347, 0), (347, 120756), (347, 0)]",LeakyReLU,9769,2604487,732,0,7,1537,33.859375,0.3015161290322581,0.2030377358490566,0.04181132075471697,0.12182692307692312
input:2183_output:128_depth:7_arch:bottleneck_batch:498_act:softplus_dropout:0.35597196891856675_dropout:True_batchnorm:True.out,9,"[(1091, 2382744), (1091, 2182), (1091, 0), (1091, 0), (545, 595140), (545, 1090), (545, 0), (545, 0), (272, 148512), (272, 544), (272, 0), (272, 0), (136, 37128), (136, 272), (136, 0), (136, 0), (128, 17536), (128, 256), (128, 0), (128, 0), (128, 16512), (128, 256), (128, 0), (128, 0), (128, 16512), (128, 256), (128, 0), (128, 0), (128, 16512), (128, 256), (128, 0), (128, 0), (128, 16512), (128, 0)]",Softplus,10480,3252220,498,8,8,1543,38.23809523809524,0.3354677419354838,0.17107692307692307,0.032057692307692294,0.09858490566037736
input:3064_output:733_depth:3_arch:bottleneck_batch:317_act:tanh_dropout:0.3783566686192742_dropout:False_batchnorm:True.out,5,"[(1532, 4695580), (1532, 3064), (1532, 0), (766, 1174278), (766, 1532), (766, 0), (733, 562211), (733, 1466), (733, 0), (733, 538022), (733, 1466), (733, 0), (733, 538022), (733, 0)]",Tanh,12758,7515641,317,4,0,1611,36.70967741935484,0.32988709677419353,0.2556851851851853,0.06427777777777781,0.12376363636363634
input:1141_output:247_depth:3_arch:uniform_batch:1004_act:softplus_dropout:0.35478814108390655_dropout:True_batchnorm:False.out,4,"[(1141, 1303022), (1141, 0), (1141, 0), (1141, 1303022), (1141, 0), (1141, 0), (1141, 1303022), (1141, 0), (1141, 0), (247, 282074), (247, 0)]",Softplus,10763,4191140,1004,0,3,1555,34.57142857142857,0.3220967741935483,0.2683518518518518,0.0756851851851852,0.2054716981132076
input:2079_output:230_depth:6_arch:bottleneck_batch:820_act:tanh_dropout:0.15461424208996222_dropout:False_batchnorm:True.out,8,"[(1039, 2161120), (1039, 2078), (1039, 0), (519, 539760), (519, 1038), (519, 0), (259, 134680), (259, 518), (259, 0), (230, 59800), (230, 460), (230, 0), (230, 53130), (230, 460), (230, 0), (230, 53130), (230, 460), (230, 0), (230, 53130), (230, 460), (230, 0), (230, 53130), (230, 0)]",Tanh,8671,3113354,820,7,0,1531,35.721311475409834,0.3186612903225807,0.1982777777777778,0.04422222222222224,0.13207142857142856
