Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:2764_output:7_depth:4_arch:pyramid_batch:519.out,5,"[('linear', 1382, 3821230), ('ReLU', 1382, 0), ('linear', 691, 955653), ('ReLU', 691, 0), ('linear', 345, 238740), ('ReLU', 345, 0), ('linear', 172, 59512), ('ReLU', 172, 0), ('linear', 7, 1211)]",ReLU,5187,5076346,519,1581,36.41025641025641,0.3146538461538462,0.2461029411764707,0.06223529411764706,0.1671470588235294
input:2556_output:168_depth:3_arch:bottleneck_batch:607.out,5,"[('linear', 1278, 3267846), ('ReLU', 1278, 0), ('linear', 639, 817281), ('ReLU', 639, 0), ('linear', 319, 204160), ('ReLU', 319, 0), ('linear', 168, 53760), ('ReLU', 168, 0), ('linear', 168, 28392)]",ReLU,4976,4371439,607,1569,36.62337662337662,0.3101025641025642,0.23021538461538463,0.04481538461538464,0.16054545454545446
input:3921_output:404_depth:4_arch:pyramid_batch:851.out,5,"[('linear', 1960, 7687120), ('ReLU', 1960, 0), ('linear', 980, 1921780), ('ReLU', 980, 0), ('linear', 490, 480690), ('ReLU', 490, 0), ('linear', 404, 198364), ('ReLU', 404, 0), ('linear', 404, 163620)]",ReLU,8072,10451574,851,1683,36.8974358974359,0.31044155844155835,0.2837746478873239,0.08638028169014088,0.21702857142857146
input:1132_output:226_depth:3_arch:gradual_batch:56.out,4,"[('linear', 830, 940390), ('ReLU', 830, 0), ('linear', 528, 438768), ('ReLU', 528, 0), ('linear', 226, 119554), ('ReLU', 226, 0), ('linear', 226, 51302)]",ReLU,3394,1550014,56,1495,37.85897435897436,0.36957142857142866,0.09841791044776116,0.015865671641791056,0.030044776119403004
input:1424_output:196_depth:10_arch:pyramid_batch:114.out,11,"[('linear', 712, 1014600), ('ReLU', 712, 0), ('linear', 356, 253828), ('ReLU', 356, 0), ('linear', 196, 69972), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612), ('ReLU', 196, 0), ('linear', 196, 38612)]",ReLU,5468,1647296,114,1483,38.15384615384615,0.36890909090909096,0.10836764705882354,0.014014705882352952,0.034535211267605656
input:1144_output:67_depth:2_arch:uniform_batch:136.out,3,"[('linear', 1144, 1309880), ('ReLU', 1144, 0), ('linear', 1144, 1309880), ('ReLU', 1144, 0), ('linear', 67, 76715)]",ReLU,4643,2696475,136,1515,38.379746835443036,0.3618589743589746,0.17492424242424234,0.03304545454545453,0.09223076923076914
input:1010_output:71_depth:1_arch:pyramid_batch:499.out,2,"[('linear', 505, 510555), ('ReLU', 505, 0), ('linear', 71, 35926)]",ReLU,1081,546481,499,1475,17.68831168831169,0.14912987012987017,0.05182089552238805,0.008432835820895528,0.029121212121212096
input:3788_output:40_depth:6_arch:pyramid_batch:405.out,7,"[('linear', 1894, 7176366), ('ReLU', 1894, 0), ('linear', 947, 1794565), ('ReLU', 947, 0), ('linear', 473, 448404), ('ReLU', 473, 0), ('linear', 236, 111864), ('ReLU', 236, 0), ('linear', 118, 27966), ('ReLU', 118, 0), ('linear', 59, 7021), ('ReLU', 59, 0), ('linear', 40, 2400)]",ReLU,7494,9568586,405,1657,38.14102564102564,0.3268961038961039,0.2682941176470588,0.08057352941176467,0.15239705882352933
input:3275_output:242_depth:8_arch:uniform_batch:588.out,9,"[('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 3275, 10728900), ('ReLU', 3275, 0), ('linear', 242, 792792)]",ReLU,52642,86623992,588,3253,78.72151898734177,0.7807922077922079,0.7137611940298507,0.33902985074626885,0.5260140845070425
input:2865_output:715_depth:4_arch:pyramid_batch:621.out,5,"[('linear', 1432, 4104112), ('ReLU', 1432, 0), ('linear', 716, 1026028), ('ReLU', 716, 0), ('linear', 715, 512655), ('ReLU', 715, 0), ('linear', 715, 511940), ('ReLU', 715, 0), ('linear', 715, 511940)]",ReLU,7871,6666675,621,1595,36.294871794871796,0.3175512820512822,0.26321126760563385,0.06016901408450706,0.17426086956521736
